id,chapterNo,chapterTitle,unitNo,unitTitle,wordNo,originalWord,word,translation,partOfSpeech,example,exampleZh,translationSource,exampleSource,qaFlags,source,note
0023,1,People,2,A Kingdom,8,human,human,人類；人類的,n.[C] a.,Humans can think and speak.,人類可以思考和說話。,source_771,source_771,,PDF text layer,11 human (n.) (a.) o
0024,1,People,2,A Kingdom,9,person,person,人,n.[C],Eric is a nice person.,埃里克是一個好人。,source_771,source_771,,PDF text layer,person
0025,1,People,2,A Kingdom,10,people,people,人,n.[pl.],There are 10 people in a group.,一組有 10 個人。,source_771,source_771,,PDF text layer,people
0026,1,People,2,A Kingdom,11,common,common,普遍,a.,Scooters are really common in Taiwan.,滑板車在台灣確實很常見。,source_771,source_771,,PDF text layer,14 common
0027,1,People,2,A Kingdom,12,servant,servant,僕人,n.[C],A servant serves his master.,僕人侍奉他的主人。,source_771,source_771,,PDF text layer,"""15 servant"
0028,1,People,2,A Kingdom,13,farmer,farmer,農夫,n.[C],Uncle Lin is a corn farmer.,林叔叔是玉米農。,source_771,source_771,duplicate_word,PDF text layer,farmer (n.) O
0029,1,People,2,A Kingdom,14,kingdom,kingdom,王國,n.[C],Thisisthebiggestcastleinthekingdom.,這是王國最大的城堡。,source_771,source_771,,PDF text layer,1 kingdom (n.) O
0030,1,People,2,A Kingdom,15,castle,castle,城堡,n.[C],This lesson uses the word castle in the unit A Kingdom.,本課程在單元“王國”中使用“城堡”一詞。,source_771,generated_example,,PDF text layer,castle (n.) O
0031,1,People,2,A Kingdom,16,master,master,主人,n.[C],"The servants must obey their master, Henry.",僕人必須服從他們的主人亨利。,source_771,source_771,,PDF text layer,master
0032,1,People,3,Forms of Address,1,title,title,頭銜,n.[C],"What title should I use for you, Professor or Doctor?",我應該對您使用什麼頭銜，教授還是博士？,source_771,source_771,,Manual correction from page image,manual correction from page image / OCR
0033,1,People,3,Forms of Address,2,sir,sir,先生,n.[C],"May I take your order, sir?",先生，我可以接受您的命令嗎？,source_771,source_771,,Manual correction from page image,manual correction from page image / OCR
0034,1,People,3,Forms of Address,3,Mr.,Mr.,先生,n.,Mr. Smith is very kind to me.,史密斯先生對我很好。,source_771,source_771,,Manual correction from page image,manual correction from page image / OCR
0035,1,People,3,Forms of Address,4,Miss,Miss,小姐,n.,Are you Miss Chang? Please come in.,您是張小姐嗎？請進來。,source_771,source_771,duplicate_word,Manual correction from page image,manual correction from page image / OCR
0036,1,People,3,Forms of Address,5,ma'am,ma'am,女士,,This lesson uses the word ma'am in the unit Forms of Address.,本課程在「稱呼形式」單元中使用「女士」一詞。,machine_translation,generated_example,,Manual correction from page image,manual correction from page image / OCR
0037,1,People,3,Forms of Address,6,Ms.,Ms.,女士(已婚未婚皆可),n.,Is this Ms. Tylerls office?,這是泰勒斯女士的辦公室嗎？,source_771,source_771,,Manual correction from page image,manual correction from page image / OCR
0038,1,People,3,Forms of Address,7,Mrs.,Mrs.,太太(已婚),n.,Mrs. Lin invited us to dinner tonight.,林太太今晚請我們吃飯。,source_771,source_771,,Manual correction from page image,manual correction from page image / OCR
0039,1,People,3,Forms of Address,8,married,married,已婚的,a.,Angela is a married woman.,安琪拉是一位已婚婦女。,source_771,source_771,duplicate_word,Manual correction from page image,manual correction from page image / OCR
0040,1,People,3,Forms of Address,9,gentleman,gentleman,紳士,n.[C],Thank you for helping me. You're a true gentleman.,謝謝你幫助我。你是一位真正的紳士。,source_771,source_771,,Manual correction from page image,manual correction from page image / OCR
0041,1,People,3,Forms of Address,10,lady,lady,小姐,n.[C],The lady at the desk will help you.,前台的女士會幫助你。,source_771,source_771,,Manual correction from page image,manual correction from page image / OCR
0042,1,People,3,Forms of Address,11,Dr.,Dr.,博士/醫生,n.,Dr. Wang will come to visit us tomorrow.,王醫生明天會來看我們。,source_771,source_771,,Manual correction from page image,manual correction from page image / OCR
0043,1,People,3,Forms of Address,12,dear,dear,親愛的,a.,I write to my dearest friend very often.,我常常寫信給我最親愛的朋友。,source_771,source_771,,Manual correction from page image,manual correction from page image / OCR
0044,1,People,3,Forms of Address,13,name,name,名字,n.[C],"Hi, my name is Mike. Nice to meet you.",嗨，我叫麥克。很高興見到你。,source_771,source_771,,Manual correction from page image,manual correction from page image / OCR
0045,1,People,3,Forms of Address,14,first name,first name,名字,n.[C],"My first name is David, and my brother's first name",我的名字是大衛，我兄弟的名字,source_771,source_771,,Manual correction from page image,manual correction from page image / OCR
0046,1,People,3,Forms of Address,15,last name / family name,last name / family name,姓氏/姓氏,,This lesson uses the word last name / family name in the unit Forms of Address.,本課程在「地址形式」單元中使用「姓氏」一詞。,machine_translation,generated_example,,Manual correction from page image,manual correction from page image / OCR
0047,2,Occupations,4,Artists and Performers,1,artist,artist,藝術家,n.[C],An artist creates art.,藝術家創作藝術。,source_771,source_771,,Manual correction from page image,manual correction from page image / OCR
0048,2,Occupations,4,Artists and Performers,2,create,create,創作,v.,You can create art with paper and a pen.,您可以用紙和筆創作藝術。,source_771,source_771,,Manual correction from page image,manual correction from page image / OCR
0049,2,Occupations,4,Artists and Performers,3,paint,paint,塗畫,v.,I painted the outside of the cup blue.,我把杯子的外面漆成藍色。,source_771,source_771,,Manual correction from page image,manual correction from page image / OCR
0050,2,Occupations,4,Artists and Performers,4,painter,painter,畫家,n.[C],He is the famous painter who painted this painting.,他就是畫這幅畫的著名畫家。,source_771,source_771,,Manual correction from page image,manual correction from page image / OCR
0051,2,Occupations,4,Artists and Performers,5,actor,actor,男演員,n.[C],The actors on that TV show are so funny.,那部電視劇裡的演員都很有趣。,source_771,source_771,,Manual correction from page image,manual correction from page image / OCR
0052,2,Occupations,4,Artists and Performers,6,actress,actress,女演員,n.[C],She is my favorite actress. I love her movies.,她是我最喜歡的女演員。我喜歡她的電影。,source_771,source_771,,Manual correction from page image,manual correction from page image / OCR
0053,2,Occupations,4,Artists and Performers,7,act,act,演出,v.,Do you want to act in the school play?,你想在學校話劇中表演嗎？,source_771,source_771,,Manual correction from page image,manual correction from page image / OCR
0054,2,Occupations,4,Artists and Performers,8,cowboy,cowboy,牛仔,n.[C],The cowboy rode his horse across the river,牛仔騎著馬過河,source_771,source_771,,Manual correction from page image,manual correction from page image / OCR
0055,2,Occupations,4,Artists and Performers,9,player,player,演奏者,n.[C],Ryan is an excellent guitar player.,Ryan 是一位出色的吉他手。,source_771,source_771,,Manual correction from page image,manual correction from page image / OCR
0056,2,Occupations,4,Artists and Performers,10,magician,magician,魔術師,n.[C] [U],This magician can pull a rabbit out of a hat.,這位魔術師能從帽子裡變出一隻兔子。,source_771,source_771,,Manual correction from page image,manual correction from page image / OCR
0057,2,Occupations,4,Artists and Performers,11,magic,magic,魔術的；魔術,a.；n.[C],My magic mirror makes me disappear!,我的魔鏡讓我消失了！,source_771,source_771,,Manual correction from page image,manual correction from page image / OCR
0058,2,Occupations,4,Artists and Performers,12,model,model,模特兒,n.[C],The model's clothes are very fashionable.,模特兒的衣服非常時尚。,source_771,source_771,,Manual correction from page image,manual correction from page image / OCR
0059,2,Occupations,4,Artists and Performers,13,musician,musician,音樂家,n.[C],That musician is selling her CDs.,那位音樂家正在出售她的 CD。,source_771,source_771,,Manual correction from page image,manual correction from page image / OCR
0060,2,Occupations,4,Artists and Performers,14,singer,singer,歌手,n.[C],Steve is a wedding singer.,史蒂夫是一位婚禮歌手。,source_771,source_771,,Manual correction from page image,manual correction from page image / OCR
0061,2,Occupations,4,Artists and Performers,15,sing,sing,唱,v.,Whitney sings beautifully.,惠特尼唱歌很好聽。,source_771,source_771,duplicate_word,Manual correction from page image,manual correction from page image / OCR
0062,2,Occupations,5,Job Titles,1,company,company,公司,n.[C],That company makes toy cars.,那家公司生產玩具車。,source_771,source_771,,Manual correction from page image,manual correction from page image / OCR
0063,2,Occupations,5,Job Titles,2,manager,manager,經理,n.[C],The manager tells the workers what to do.,經理告訴工人該做什麼。,source_771,source_771,,Manual correction from page image,manual correction from page image / OCR
0064,2,Occupations,5,Job Titles,3,assistant,assistant,助理,n.[C],My assistant helps me do my work.,我的助理幫助我做我的工作。,source_771,source_771,,Manual correction from page image,manual correction from page image / OCR
0065,2,Occupations,5,Job Titles,4,secretary,secretary,秘書,n.[C],The secretary will take notes at the meeting.,秘書將在會議上做記錄。,source_771,source_771,,Manual correction from page image,manual correction from page image / OCR
0066,2,Occupations,5,Job Titles,5,army,army,軍隊,n.[C],The army protects the country from its enemies.,軍隊保護國家免受敵人的侵害。,source_771,source_771,,Manual correction from page image,manual correction from page image / OCR
0067,2,Occupations,5,Job Titles,6,captain,captain,船長,n.[C],The captain of the ship decides where to go.,船長決定要去哪裡。,source_771,source_771,,Manual correction from page image,manual correction from page image / OCR
0068,2,Occupations,5,Job Titles,7,general,general,將軍；一般的,n.[C]；a.,Here comes the general! Everybody stand up!,將軍來了！大家都站起來！,source_771,source_771,,Manual correction from page image,manual correction from page image / OCR
0069,2,Occupations,5,Job Titles,8,major,major,少校,n.[C],A general is a major's boss in the army.,將軍是軍隊中少校的上司。,source_771,source_771,duplicate_word,Manual correction from page image,manual correction from page image / OCR
0070,2,Occupations,5,Job Titles,9,sailor,sailor,水手,n.[C],Asailor sails on a ship.,水手在船上航行。,source_771,source_771,,Manual correction from page image,manual correction from page image / OCR
0071,2,Occupations,5,Job Titles,10,soldier,soldier,士兵,n.[C],The soldier is driving the tank in the war.,士兵在戰爭中駕駛坦克車。,source_771,source_771,,Manual correction from page image,manual correction from page image / OCR
0072,2,Occupations,5,Job Titles,11,tank,tank,坦克,n.[C],The word tank is useful when talking about jobs.,在談論工作時，「坦克」這個詞很有用。,source_771,generated_example,,Manual correction from page image,manual correction from page image / OCR
0073,2,Occupations,5,Job Titles,12,president,president,總統,n.[C],The people of the country elect a president to lead,全國人民選出一位總統來領導,source_771,source_771,,Manual correction from page image,manual correction from page image / OCR
0074,2,Occupations,5,Job Titles,13,officer,officer,警官,n.[C],The police officer is directing the traffic.,警察正在指揮交通。,source_771,source_771,,Manual correction from page image,manual correction from page image / OCR
0075,2,Occupations,5,Job Titles,14,police,police,警察,n.[C],I think we should call the police.,我想我們應該報警。,source_771,source_771,,Manual correction from page image,manual correction from page image / OCR
0076,2,Occupations,5,Job Titles,15,duty,duty,職責,n.[C],It is the president's duty to take care of the people.,照顧人民是總統的職責。,source_771,source_771,,Manual correction from page image,manual correction from page image / OCR
0077,2,Occupations,5,Job Titles,16,thief,thief,小偷,n.[C],The thief ran away from the store.,小偷逃離了商店。,source_771,curated_example,,Manual correction from page image,manual correction from page image / OCR
0078,2,Occupations,6,Professionals,1,doctor,doctor,醫生,n.[C],Frank needs to see a doctor.,弗蘭克需要去看醫生。,source_771,source_771,,Manual correction from page image,manual correction from page image / OCR
0079,2,Occupations,6,Professionals,2,dentist,dentist,牙醫,n.[C],The dentist is taking care of the man's teeth.,牙醫正在照顧男子的牙齒。,source_771,source_771,,Manual correction from page image,manual correction from page image / OCR
0080,2,Occupations,6,Professionals,3,nurse,nurse,護士,n.[C],An excellent nurse took good care of me when I was sick.,當我生病時，一位優秀的護士照顧我。,source_771,source_771,,Manual correction from page image,manual correction from page image / OCR
0081,2,Occupations,6,Professionals,4,diplomat,diplomat,外交官,n.[C],The American and Chinese diplomats will have a meeting this afternoon.,美國和中國外交官將於今天下午舉行會議。,source_771,source_771,,Manual correction from page image,manual correction from page image / OCR
0082,2,Occupations,6,Professionals,5,judge,judge,法官；裁判,n.[C]；v.,The judge is listening to the lawyers in court.,法官正在法庭上聽取律師的陳述。,source_771,source_771,,Manual correction from page image,manual correction from page image / OCR
0083,2,Occupations,6,Professionals,6,lawyer,lawyer,律師,n.[C],She is studying law because she wants to be a lawyer.,她正在學習法律，因為她想成為一名律師。,source_771,source_771,,Manual correction from page image,manual correction from page image / OCR
0084,2,Occupations,6,Professionals,7,deal with,deal with,處理；應付,,Lawyers and judges deal with a lot of laws and rules.,律師和法官處理許多法律和規則。,source_771,source_771,,Manual correction from page image,manual correction from page image / OCR
0085,2,Occupations,6,Professionals,8,mechanic,mechanic,技師,n.[C],I need a mechanic to repair my car.,我需要一名機械師來修理我的車。,source_771,source_771,,Manual correction from page image,manual correction from page image / OCR
0086,2,Occupations,6,Professionals,9,check,check,檢查,v.,Please check and fix the broken water pipes.,請檢查並修復破損的水管。,source_771,source_771,duplicate_word,Manual correction from page image,manual correction from page image / OCR
0087,2,Occupations,6,Professionals,10,engineer,engineer,工程師,n.[C],An engineer designs machines.,工程師設計機器。,source_771,source_771,,Manual correction from page image,manual correction from page image / OCR
0088,2,Occupations,6,Professionals,11,operation,operation,手術,n.[C] [U],The doctor was tired because he had just performed a ten-hour operation.,醫生很累，因為他剛做了十個小時的手術。,source_771,source_771,,Manual correction from page image,manual correction from page image / OCR
0089,2,Occupations,6,Professionals,12,scientist,scientist,科學家,n.[C],"Scientists study biology, chemistry, and physics.",科學家研究生物學、化學和物理學。,source_771,source_771,,Manual correction from page image,manual correction from page image / OCR
0090,2,Occupations,6,Professionals,13,invent,invent,發明,v.,Scientists are trying to invent new forms of energy.,科學家正在嘗試發明新形式的能源。,source_771,source_771,,Manual correction from page image,manual correction from page image / OCR
0091,2,Occupations,6,Professionals,14,coach,coach,教練；指導,n.[C]；v.,Our coach taught us how to play soccer very well.,我們的教練教我們如何踢好足球。,source_771,source_771,,Manual correction from page image,manual correction from page image / OCR
0092,2,Occupations,7,Services and Media,1,service,service,服務,,The word service is useful when talking about jobs.,當談論工作時，“服務”這個詞很有用。,machine_translation,generated_example,,Manual correction from page image,manual correction from page image / OCR
0093,2,Occupations,7,Services and Media,2,barber,barber,理髮師,n.[C],The barber cut my beard too short.,理髮師把我的鬍子剪得太短了。,source_771,source_771,,Manual correction from page image,manual correction from page image / OCR
0094,2,Occupations,7,Services and Media,3,hair dresser,hair dresser,髮型師,n.[C],I like the way the hair dresser cut your hair.,我喜歡理髮師幫你剪頭髮的方式。,source_771,source_771,,Manual correction from page image,manual correction from page image / OCR
0095,2,Occupations,7,Services and Media,4,cook,cook,煮,n.[C]；v.,Stanley is a good cook.,史丹利是個好廚師。,source_771,source_771,duplicate_word,Manual correction from page image,manual correction from page image / OCR
0096,2,Occupations,7,Services and Media,5,waiter,waiter,服務生,n.[C],"Waiter, we are ready to order now.",服務員，我們現在可以點菜了。,source_771,source_771,,Manual correction from page image,manual correction from page image / OCR
0097,2,Occupations,7,Services and Media,6,waitress,waitress,女服務生,n.[C],The waitress brought me a glass of water.,女服務生給我端了一杯水。,source_771,source_771,,Manual correction from page image,manual correction from page image / OCR
0098,2,Occupations,7,Services and Media,7,serve,serve,服務,v.,The waiter will serve you in a minute.,服務生一會兒就會為您服務。,source_771,source_771,,Manual correction from page image,manual correction from page image / OCR
0099,2,Occupations,7,Services and Media,8,driver,driver,司機,n.[C],My father works as a taxi driver.,我父親是一名出租車司機。,source_771,source_771,,Manual correction from page image,manual correction from page image / OCR
0100,2,Occupations,7,Services and Media,9,mailman,mailman,郵差,n.[C],The mailman delivered my mail.,郵差遞送了我的郵件。,source_771,source_771,,Manual correction from page image,manual correction from page image / OCR
0101,2,Occupations,7,Services and Media,10,mail,mail,信,n.[C],The word mail is useful when talking about jobs.,在談論工作時，「郵件」這個詞很有用。,source_771,generated_example,,Manual correction from page image,manual correction from page image / OCR
0102,2,Occupations,7,Services and Media,11,guide,guide,導遊；導覽,n.[C]；v.,The guide showed us the famous temples in the city.,導遊帶我們參觀了城裡著名的寺廟。,source_771,source_771,,Manual correction from page image,manual correction from page image / OCR
0103,2,Occupations,7,Services and Media,12,lead,lead,帶領,v.,Our guide will lead us through the mountains.,我們的導遊將帶領我們翻山越嶺。,source_771,source_771,,Manual correction from page image,manual correction from page image / OCR
0104,2,Occupations,7,Services and Media,13,journalist,journalist,新聞記者,n.[C],This journalist writes for a lot of magazines.,這位記者為很多雜誌撰稿。,source_771,source_771,,Manual correction from page image,manual correction from page image / OCR
0105,2,Occupations,7,Services and Media,14,reporter,reporter,新聞記者,n.[C],The reporter on the news speaks very loudly.,新聞記者說話聲音很大。,source_771,source_771,,Manual correction from page image,manual correction from page image / OCR
0106,2,Occupations,7,Services and Media,15,writer,writer,作家,n.[C],I learned about this famous writer through her books.,我透過她的書了解了這位著名作家。,source_771,source_771,,Manual correction from page image,manual correction from page image / OCR
0107,2,Occupations,7,Services and Media,16,deliver,deliver,寄送,v.,This package for you was delivered this morning.,給您的這個包裹已於今天早上送達。,source_771,source_771,,Manual correction from page image,manual correction from page image / OCR
0108,2,Occupations,8,In an Office,1,boss,boss,老闆,n.[C],I just had a talk with my boss.,我剛剛和我的老闆談過話。,source_771,source_771,,Manual correction from page image,manual correction from page image / OCR
0109,2,Occupations,8,In an Office,2,owner,owner,所有者,n.[C],"The company's owner, John, used to own a restaurant.",該公司的老闆約翰曾經擁有一家餐廳。,source_771,source_771,,Manual correction from page image,manual correction from page image / OCR
0110,2,Occupations,8,In an Office,3,own,own,擁有,v.,The word own is useful when talking about jobs.,在談論工作時，「自己」這個詞很有用。,source_771,generated_example,,Manual correction from page image,manual correction from page image / OCR
0111,2,Occupations,8,In an Office,4,businessman,businessman,商人,n.[C],Terry Guo is a successful businessman.,郭台銘是一位成功的商人。,source_771,source_771,,Manual correction from page image,manual correction from page image / OCR
0112,2,Occupations,8,In an Office,5,business,business,生意,n.[C],Mike does business with American companies.,麥克與美國公司做生意。,source_771,source_771,,Manual correction from page image,manual correction from page image / OCR
0113,2,Occupations,8,In an Office,6,branch,branch,分工司,n.[C],My branch employs 500 workers.,我的分公司僱用了 500 名工人。,source_771,source_771,duplicate_word,Manual correction from page image,manual correction from page image / OCR
0114,2,Occupations,8,In an Office,7,employ,employ,雇用,v.,The word employ is useful when talking about jobs.,當談論工作時，「僱用」這個詞很有用。,source_771,generated_example,,Manual correction from page image,manual correction from page image / OCR
0115,2,Occupations,8,In an Office,8,worker,worker,員工,n.[C],Jenny was once a worker in that company.,珍妮曾經是那家公司的工人。,source_771,source_771,,Manual correction from page image,manual correction from page image / OCR
0116,2,Occupations,8,In an Office,9,hire,hire,雇用,v.,We need to hire more people to work for our company.,我們需要雇用更多的人為我們的公司工作。,source_771,source_771,,Manual correction from page image,manual correction from page image / OCR
0117,2,Occupations,8,In an Office,10,meeting,meeting,會議,n.[C],I have to go to a meeting at 4 p.m.,下午 4 點我必須去參加一個會議。,source_771,source_771,,Manual correction from page image,manual correction from page image / OCR
0118,2,Occupations,8,In an Office,11,contract,contract,合約,n.[C],I signed a five-year contract with this company.,我與這家公司簽訂了為期五年的合約。,source_771,source_771,,Manual correction from page image,manual correction from page image / OCR
0119,2,Occupations,8,In an Office,12,clerk,clerk,職員,n.[C],The office clerk will put these papers away for you.,辦公室職員將為您把這些文件收起來。,source_771,source_771,,Manual correction from page image,manual correction from page image / OCR
0120,2,Occupations,8,In an Office,13,job,job,工作,n.[C],Don't be nervous about your interview. I know you will get the job!,不要對面試感到緊張。我知道你會得到這份工作！,source_771,source_771,,Manual correction from page image,manual correction from page image / OCR
0121,2,Occupations,8,In an Office,14,interview,interview,面試,n.[C],The word interview is useful when talking about jobs.,在談論工作時，面試這個詞很有用。,source_771,generated_example,,Manual correction from page image,manual correction from page image / OCR
0122,2,Occupations,8,In an Office,15,work,work,工作,n.[C]；v.,How are things at work?,工作進度如何？,source_771,source_771,,Manual correction from page image,manual correction from page image / OCR
0123,2,Occupations,8,In an Office,16,experience,experience,經驗,n.[C] [U],Judy has no experience in sales.,朱迪沒有銷售經驗。,source_771,source_771,,Manual correction from page image,manual correction from page image / OCR
0124,2,Occupations,8,In an Office,17,earn,earn,賺取,v.,"Michelle earns a very high income, so she is rich.",米歇爾的收入很高，所以她很有錢。,source_771,source_771,,Manual correction from page image,manual correction from page image / OCR
0125,2,Occupations,8,In an Office,18,income,income,收入,n.[C],The word income is useful when talking about jobs.,當談論工作時，收入這個詞很有用。,source_771,generated_example,,Manual correction from page image,manual correction from page image / OCR
0126,2,Occupations,8,In an Office,19,production,production,生產,n.[C],"The company's production team is fast, so it canproduce things quickly.",公司的生產團隊速度很快，所以很快就能生產東西。,source_771,source_771,,Manual correction from page image,manual correction from page image / OCR
0127,2,Occupations,9,Sales,1,salesman,salesman,銷售員,n.[C],He is a great salesman. He can sell anything.,他是一位出色的推銷員。他可以賣任何東西。,source_771,source_771,,Manual correction from page image,manual correction from page image / OCR
0128,2,Occupations,9,Sales,2,sell,sell,賣,v.,Do you sell gloves here?,這裡有賣手套嗎？,source_771,source_771,,Manual correction from page image,manual correction from page image / OCR
0129,2,Occupations,9,Sales,3,thing,thing,東西,n.[C],I can't see a thing in this dark basement.,在這個黑暗的地下室裡我什麼也看不見。,source_771,source_771,,Manual correction from page image,manual correction from page image / OCR
0130,2,Occupations,9,Sales,4,discover,discover,發現,v.,The business discovered a better production method for its furniture.,該企業發現了一種更好的家俱生產方法。,source_771,source_771,,Manual correction from page image,manual correction from page image / OCR
0131,2,Occupations,9,Sales,5,valuable,valuable,有價值的；貴重的,,That museum has a lot of valuable works of art inside.,那個博物館裡面有很多有價值的藝術品。,source_771,source_771,,Manual correction from page image,manual correction from page image / OCR
0132,2,Occupations,9,Sales,6,increase,increase,增加,v.,The boss wants to increase sales.,老闆想增加銷售額。,source_771,source_771,,Manual correction from page image,manual correction from page image / OCR
0133,2,Occupations,9,Sales,7,sale,sale,出售,n.[U],This fruit is not suitable for sale.,這種水果不適合出售。,source_771,source_771,,Manual correction from page image,manual correction from page image / OCR
0134,2,Occupations,9,Sales,8,decrease,decrease,減少,v.,The price will decrease next week.,下週價格將會下降。,source_771,curated_example,,Manual correction from page image,manual correction from page image / OCR
0135,2,Occupations,9,Sales,9,find,find,找到,v.,Where can I find your boss?,我可以在哪裡找到你的老闆？,source_771,source_771,,Manual correction from page image,manual correction from page image / OCR
0136,2,Occupations,9,Sales,10,produce,produce,生產,v.,The factory produces parts for computers.,該工廠生產電腦零件。,source_771,source_771,,Manual correction from page image,manual correction from page image / OCR
0137,2,Occupations,9,Sales,11,advertisement,advertisement,廣告,n.[C],I wrote a job advertisement so we can hire some new workers.,我寫了一份招聘廣告，這樣我們就可以僱用一些新工人。,source_771,source_771,,Manual correction from page image,manual correction from page image / OCR
0138,2,Occupations,9,Sales,12,compare,compare,比較,v.,Apples and oranges are too different to compare.,蘋果和橘子差異太大，無法比較。,source_771,source_771,,Manual correction from page image,manual correction from page image / OCR
0139,2,Occupations,9,Sales,13,complain,complain,抱怨,v.,I will complain to the manager about the bad service.,我會向經理抱怨糟糕的服務。,source_771,source_771,,Manual correction from page image,manual correction from page image / OCR
0140,2,Occupations,9,Sales,14,satisfy,satisfy,滿足,v.,The company works hard to satisfy its customers' desires.,該公司努力滿足客戶的願望。,source_771,source_771,,Manual correction from page image,manual correction from page image / OCR
0141,2,Occupations,9,Sales,15,express,express,表達,v.,The singer expresses her feelings in her songs.,這位歌手在歌曲中表達了她的感受。,source_771,source_771,,Manual correction from page image,manual correction from page image / OCR
0142,2,Occupations,10,Ways to Achieve Success,1,success,success,成功,n.[C] [U],I wish you a lot of success in life.,祝您生活取得巨大成功。,source_771,source_771,,Manual correction from page image,manual correction from page image / OCR
0143,2,Occupations,10,Ways to Achieve Success,2,succeed,succeed,成功,v.,He succeeded in inventing a better machine.,他成功地發明了一種更好的機器。,source_771,source_771,,Manual correction from page image,manual correction from page image / OCR
0144,2,Occupations,10,Ways to Achieve Success,3,become,become,成為,v.,Tina wants to become a successful scientist.,蒂娜想成為一名成功的科學家。,source_771,source_771,,Manual correction from page image,manual correction from page image / OCR
